epoch,loss,lr,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,343847.1875,0.001,586.3848266601562,191534.296875,437.64630126953125
1,321078.375,0.001,566.6377563476562,189070.75,434.8226623535156
2,294306.875,0.001,542.5005493164062,184891.546875,429.99017333984375
3,265263.46875,0.001,515.037353515625,182524.921875,427.2293701171875
4,235452.671875,0.001,485.2346496582031,179671.578125,423.8768310546875
5,199464.890625,0.001,446.61492919921875,146986.125,383.3876953125
6,160173.03125,0.001,400.2162170410156,130082.0859375,360.6689453125
7,120751.984375,0.001,347.4938659667969,91744.0,302.8927307128906
8,84821.90625,0.001,291.24200439453125,56996.89453125,238.74021911621094
9,55369.45703125,0.001,235.30715942382812,33686.20703125,183.53802490234375
10,33443.9921875,0.001,182.87698364257812,21908.517578125,148.0152587890625
11,18839.140625,0.001,137.25575256347656,12357.4716796875,111.1641616821289
12,10508.380859375,0.001,102.51039123535156,7105.77001953125,84.29573059082031
13,5407.85400390625,0.001,73.5381088256836,5078.544921875,71.26390838623047
14,3463.767333984375,0.001,58.85377883911133,1241.2882080078125,35.2319221496582
15,2352.39111328125,0.001,48.5014533996582,1412.8814697265625,37.588314056396484
16,2039.315185546875,0.001,45.15877914428711,1355.0789794921875,36.811397552490234
17,1748.061767578125,0.001,41.80982971191406,828.71142578125,28.7873477935791
18,1720.1259765625,0.001,41.47439956665039,1635.6011962890625,40.44256591796875
19,1545.257568359375,0.001,39.30976486206055,2044.1549072265625,45.21232986450195
20,1462.8779296875,0.001,38.247589111328125,1219.8133544921875,34.92582702636719
21,1656.243896484375,0.001,40.69697570800781,1459.9444580078125,38.20922088623047
22,1558.375732421875,0.001,39.47626876831055,1412.4105224609375,37.58205032348633
23,1548.5528564453125,0.000100000005,39.35165786743164,1245.57470703125,35.292701721191406
24,1322.549072265625,0.000100000005,36.36686706542969,1267.4171142578125,35.60080337524414
25,1383.08349609375,0.000100000005,37.1898307800293,1087.0380859375,32.97026062011719
26,1323.3460693359375,0.000100000005,36.37782287597656,963.2131958007812,31.035676956176758
27,1444.7816162109375,0.000100000005,38.010284423828125,1068.8895263671875,32.69387435913086
